#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.5200	     0.0000	     0.0000	   211.4894	   211.4894	   423.2800	   423.2800	   421.1600	   396.5100	     3.9750	     2.9500	   691.3500	 regenerative cooling, opposite flow; film coolant injection	 
    5.6500	    44.5200	     0.0000	     0.0000	   284.0210	   284.0210	   431.7800	   431.7800	   429.4200	   396.2700	     3.9750	     2.9400	   691.6500	 regenerative cooling, opposite flow	 
   11.3000	    44.5200	     0.0000	     0.0000	   338.5047	   338.5047	   438.1400	   438.1400	   435.5400	   395.9800	     3.9750	     2.9400	   692.0300	 regenerative cooling, opposite flow	 
   16.9500	    44.5200	     0.0000	     0.0000	   378.1743	   378.1743	   442.5800	   442.5800	   439.9100	   395.6400	     3.9760	     2.9400	   692.4600	 regenerative cooling, opposite flow	 
   22.5900	    44.5200	     0.4623	  1168.6921	   189.6863	  1358.3784	   560.3800	   560.3800	   554.4400	   394.8300	     3.9760	     2.9400	   693.5100	 regenerative cooling, opposite flow	 
   28.2400	    44.5200	     0.5071	  1275.5789	   186.1094	  1461.6883	   572.6800	   572.6800	   566.3000	   393.4900	     3.9760	     2.9300	   695.2300	 regenerative cooling, opposite flow	 
   33.8900	    44.5200	     0.5483	  1373.6309	   170.9275	  1544.5584	   582.9000	   582.9000	   576.1200	   392.0700	     3.9760	     2.9200	   696.9400	 regenerative cooling, opposite flow	 
   39.5400	    44.5200	     0.5630	  1408.8435	   158.5154	  1567.3589	   585.9400	   585.9400	   579.0100	   390.5900	     3.9770	     2.9200	   698.6500	 regenerative cooling, opposite flow	 
   45.1900	    44.5200	     0.5857	  1462.2999	   152.7502	  1615.0501	   591.8400	   591.8400	   584.7200	   389.0700	     3.9770	     2.9100	   700.3900	 regenerative cooling, opposite flow	 
   50.8400	    44.5200	     0.6019	  1499.6509	   149.9550	  1649.6059	   596.6900	   596.6900	   589.3700	   387.5000	     3.9770	     2.9000	   702.1800	 regenerative cooling, opposite flow	 
   56.4800	    44.5200	     0.6057	  1508.2412	   149.4153	  1657.6566	   598.1500	   598.1500	   590.8100	   385.9100	     3.9770	     2.8900	   704.0200	 regenerative cooling, opposite flow	 
   62.1300	    44.5200	     0.6059	  1508.5639	   149.8672	  1658.4311	   598.6500	   598.6500	   591.3600	   384.3000	     3.9780	     2.8900	   705.8700	 regenerative cooling, opposite flow	 
   67.7800	    44.5200	     0.6057	  1507.7176	   149.8477	  1657.5653	   598.9900	   598.9900	   591.6800	   382.6700	     3.9780	     2.8800	   707.7300	 regenerative cooling, opposite flow	 
   73.4300	    44.5200	     0.6054	  1506.9241	   149.7741	  1656.6982	   599.3000	   599.3000	   591.9900	   381.0400	     3.9780	     2.8700	   709.6100	 regenerative cooling, opposite flow	 
   79.0800	    44.5200	     0.6052	  1506.1695	   149.2968	  1655.4663	   599.5600	   599.5600	   592.2400	   379.3900	     3.9780	     2.8600	   711.5000	 regenerative cooling, opposite flow	 
   84.7300	    44.5200	     0.6049	  1505.3547	   149.3852	  1654.7399	   599.8600	   599.8600	   592.5300	   377.7400	     3.9790	     2.8500	   713.4100	 regenerative cooling, opposite flow	 
   90.3800	    44.5200	     0.6047	  1504.6343	   149.6866	  1654.3209	   600.1500	   600.1500	   592.8600	   376.0700	     3.9790	     2.8500	   715.3300	 regenerative cooling, opposite flow	 
   93.9500	    44.4300	     0.6067	  1509.3772	   148.6664	  1658.0436	   600.3600	   600.3600	   593.0100	   375.0100	     3.9790	     2.8500	   716.5400	 regenerative cooling, opposite flow	 
   97.5200	    44.1600	     0.6128	  1524.3448	   149.0309	  1673.3758	   600.9100	   600.9100	   593.5300	   373.9400	     3.9790	     2.8600	   717.7700	 regenerative cooling, opposite flow	 
  101.0900	    43.7100	     0.6235	  1550.3055	   148.0170	  1698.3225	   601.6600	   601.6600	   594.1500	   372.8600	     3.9790	     2.8800	   719.0100	 regenerative cooling, opposite flow	 
  104.6600	    43.0900	     0.6387	  1587.3215	   148.3470	  1735.6685	   603.0700	   603.0700	   595.4400	   371.7500	     3.9800	     2.9200	   720.1600	 regenerative cooling, opposite flow	 
  108.2300	    42.2700	     0.6595	  1637.7073	   148.6659	  1786.3732	   604.8100	   604.8100	   596.9400	   370.6200	     3.9800	     2.9700	   721.3300	 regenerative cooling, opposite flow	 
  111.8000	    41.2600	     0.6869	  1704.3375	   148.1855	  1852.5230	   606.8200	   606.8200	   598.6400	   369.4600	     3.9800	     3.0300	   722.5400	 regenerative cooling, opposite flow	 
  115.3800	    40.0400	     0.7224	  1790.6990	   147.9081	  1938.6071	   609.2300	   609.2300	   600.7000	   368.2500	     3.9800	     3.1200	   723.8000	 regenerative cooling, opposite flow	 
  118.9500	    38.6100	     0.7681	  1901.6956	   147.2772	  2048.9728	   612.0900	   612.0900	   603.0800	   366.9900	     3.9800	     3.2200	   725.1100	 regenerative cooling, opposite flow	 
  122.5200	    36.9500	     0.8273	  2045.1663	   145.8465	  2191.0128	   615.4600	   615.4600	   605.8300	   365.6700	     3.9810	     3.3600	   726.4900	 regenerative cooling, opposite flow	 
  126.0900	    35.0400	     0.9045	  2231.9772	   145.5071	  2377.4843	   619.6200	   619.6200	   609.1800	   364.2600	     3.9810	     3.5300	   727.9500	 regenerative cooling, opposite flow	 
  129.6600	    32.9800	     1.0017	  2466.4513	   144.9289	  2611.3802	   624.4000	   624.4000	   612.9700	   362.7800	     3.9810	     3.7300	   729.4900	 regenerative cooling, opposite flow	 
  133.2300	    30.9200	     1.1164	  2742.5285	   142.0431	  2884.5715	   629.4400	   629.4400	   616.7900	   361.2300	     3.9820	     3.9600	   731.1000	 regenerative cooling, opposite flow	 
  136.8100	    28.8600	     1.2531	  3070.0739	   140.0311	  3210.1050	   634.9900	   634.9900	   620.9200	   359.6100	     3.9820	     4.2200	   732.7900	 regenerative cooling, opposite flow	 
  140.3800	    26.8000	     1.4180	  3463.2023	   136.4790	  3599.6814	   640.9600	   640.9600	   625.1800	   357.9200	     3.9830	     4.5200	   734.5500	 regenerative cooling, opposite flow	 
  143.9500	    24.7500	     1.6178	  3936.3970	   130.3252	  4066.7222	   647.2800	   647.2800	   629.4600	   356.1500	     3.9830	     4.8600	   736.3800	 regenerative cooling, opposite flow	 
  147.5200	    23.1100	     1.8116	  4390.8988	   122.4377	  4513.3365	   652.6300	   652.6300	   632.8900	   354.3800	     3.9840	     5.1800	   738.2300	 regenerative cooling, opposite flow	 
  151.0900	    21.9600	     1.9662	  4748.0968	   112.0155	  4860.1123	   656.3700	   656.3700	   635.1000	   352.6200	     3.9840	     5.4200	   740.0300	 regenerative cooling, opposite flow	 
  154.6600	    21.2700	     2.0660	  4970.8939	   101.2031	  5072.0970	   658.7000	   658.7000	   636.5000	   350.8700	     3.9850	     5.5700	   741.6900	 regenerative cooling, opposite flow	 
  158.2300	    20.9900	     2.1016	  5039.6420	    90.9965	  5130.6385	   658.9100	   658.9100	   636.4500	   349.1300	     3.9860	     5.6300	   743.3600	 regenerative cooling, opposite flow	 
  158.8800	    20.9800	     2.1008	  5034.7420	    90.5936	  5125.3356	   658.7900	   658.7900	   636.3600	   348.8200	     3.9860	     5.6300	   743.6300	 regenerative cooling, opposite flow	 
  166.0200	    22.3200	     1.8707	  4456.2333	    63.0316	  4519.2649	   647.2700	   647.2700	   627.4900	   345.4000	     3.9870	     5.3200	   746.8900	 regenerative cooling, opposite flow	 
