#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.8000	     0.0000	     0.0000	   217.6813	   217.6813	   439.3900	   439.3900	   437.2500	   413.7700	     3.9760	     3.0900	   659.2600	 regenerative cooling, opposite flow; film coolant injection	 
    5.6300	    44.8000	     0.0000	     0.0000	   291.9389	   291.9389	   447.4800	   447.4800	   445.0000	   413.5400	     3.9760	     3.0800	   662.4900	 regenerative cooling, opposite flow	 
   11.2600	    44.8000	     0.0000	     0.0000	   350.0049	   350.0049	   453.6100	   453.6100	   450.9500	   413.2500	     3.9770	     3.0600	   666.5500	 regenerative cooling, opposite flow	 
   16.8900	    44.8000	     0.5058	  1263.1736	   194.2632	  1457.4369	   576.2300	   576.2300	   569.8200	   412.4400	     3.9770	     3.0400	   670.8200	 regenerative cooling, opposite flow	 
   22.5300	    44.8000	     0.5820	  1441.7266	   194.2326	  1635.9592	   596.3000	   596.3000	   589.0900	   411.0300	     3.9770	     3.0300	   672.6200	 regenerative cooling, opposite flow	 
   28.1600	    44.8000	     0.6215	  1534.1483	   177.3310	  1711.4793	   604.8700	   604.8700	   597.3500	   409.5100	     3.9770	     3.0200	   674.5800	 regenerative cooling, opposite flow	 
   33.7900	    44.8000	     0.6644	  1633.6341	   162.1252	  1795.7593	   614.6500	   614.6500	   606.7000	   407.9100	     3.9780	     3.0100	   676.6500	 regenerative cooling, opposite flow	 
   39.4200	    44.8000	     0.7425	  1810.8493	   154.3801	  1965.2294	   634.4100	   634.4100	   625.7300	   406.1900	     3.9780	     3.0000	   678.8700	 regenerative cooling, opposite flow	 
   45.0500	    44.8000	     0.7804	  1895.5536	   152.3416	  2047.8952	   644.3100	   644.3100	   635.3100	   404.3400	     3.9780	     2.9900	   681.2500	 regenerative cooling, opposite flow	 
   50.6800	    44.8000	     0.7874	  1910.9268	   151.9246	  2062.8514	   646.3900	   646.3900	   637.3400	   402.4400	     3.9780	     2.9800	   683.7000	 regenerative cooling, opposite flow	 
   56.3200	    44.8000	     0.7878	  1911.7664	   151.2820	  2063.0484	   646.7900	   646.7900	   637.6800	   400.5200	     3.9790	     2.9700	   686.1700	 regenerative cooling, opposite flow	 
   61.9500	    44.8000	     0.7877	  1911.2037	   151.2538	  2062.4576	   647.0100	   647.0100	   637.9100	   398.5900	     3.9790	     2.9600	   688.6600	 regenerative cooling, opposite flow	 
   67.5800	    44.8000	     0.7875	  1910.6886	   151.6855	  2062.3740	   647.2300	   647.2300	   638.1700	   396.6600	     3.9790	     2.9500	   691.1600	 regenerative cooling, opposite flow	 
   73.2100	    44.8000	     0.7874	  1910.1654	   151.4043	  2061.5697	   647.3900	   647.3900	   638.3300	   394.7100	     3.9790	     2.9400	   693.6600	 regenerative cooling, opposite flow	 
   78.8400	    44.8000	     0.7871	  1909.4283	   151.7223	  2061.1506	   647.6500	   647.6500	   638.6000	   392.7600	     3.9800	     2.9300	   696.1500	 regenerative cooling, opposite flow	 
   84.4700	    44.8000	     0.7865	  1907.2987	   151.8164	  2059.1151	   648.3600	   648.3600	   639.3100	   390.7900	     3.9800	     2.9200	   698.4100	 regenerative cooling, opposite flow	 
   90.1100	    44.8000	     0.7861	  1906.0164	   151.1771	  2057.1935	   648.7800	   648.7800	   639.7200	   388.8200	     3.9800	     2.9100	   700.6700	 regenerative cooling, opposite flow	 
   93.6000	    44.7100	     0.7881	  1910.3958	   151.5376	  2061.9335	   649.5000	   649.5000	   640.4400	   387.6000	     3.9800	     2.9100	   702.0800	 regenerative cooling, opposite flow	 
   97.1000	    44.4600	     0.7953	  1926.9424	   151.6523	  2078.5947	   650.5000	   650.5000	   641.3600	   386.3600	     3.9800	     2.9200	   703.5100	 regenerative cooling, opposite flow	 
  100.5900	    44.0300	     0.8080	  1956.5877	   150.8537	  2107.4414	   651.7200	   651.7200	   642.4300	   385.1000	     3.9810	     2.9400	   704.9500	 regenerative cooling, opposite flow	 
  104.0900	    43.4400	     0.8265	  2000.0539	   152.3137	  2152.3677	   653.4400	   653.4400	   644.0200	   383.8200	     3.9810	     2.9700	   706.4200	 regenerative cooling, opposite flow	 
  107.5800	    42.6600	     0.8519	  2059.9430	   150.2431	  2210.1861	   655.2400	   655.2400	   645.5200	   382.5100	     3.9810	     3.0200	   707.9200	 regenerative cooling, opposite flow	 
  111.0800	    41.7000	     0.8851	  2137.9333	   150.4597	  2288.3930	   657.6300	   657.6300	   647.5700	   381.1700	     3.9810	     3.0800	   709.4700	 regenerative cooling, opposite flow	 
  114.5700	    40.5400	     0.9279	  2238.6446	   150.1381	  2388.7827	   660.4000	   660.4000	   649.9500	   379.7700	     3.9810	     3.1600	   711.0700	 regenerative cooling, opposite flow	 
  118.0600	    39.1900	     0.9825	  2366.9483	   149.5485	  2516.4967	   663.7200	   663.7200	   652.6900	   378.3200	     3.9810	     3.2600	   712.7400	 regenerative cooling, opposite flow	 
  121.5600	    37.6200	     1.0524	  2530.9318	   149.8521	  2680.7839	   667.7200	   667.7200	   655.9800	   376.7900	     3.9820	     3.3800	   714.5000	 regenerative cooling, opposite flow	 
  125.0500	    35.8200	     1.1430	  2743.1433	   147.9494	  2891.0927	   672.3400	   672.3400	   659.6700	   375.1800	     3.9820	     3.5300	   716.3500	 regenerative cooling, opposite flow	 
  128.5500	    33.8200	     1.2588	  3013.4616	   147.0330	  3160.4947	   677.8600	   677.8600	   663.9900	   373.4700	     3.9820	     3.7200	   718.3200	 regenerative cooling, opposite flow	 
  132.0400	    31.8000	     1.3948	  3329.1932	   145.4662	  3474.6593	   684.2800	   684.2800	   669.0500	   371.6700	     3.9830	     3.9400	   720.2400	 regenerative cooling, opposite flow	 
  135.5400	    29.7800	     1.5553	  3699.6004	   142.5165	  3842.1168	   691.2800	   691.2800	   674.4400	   369.8100	     3.9830	     4.1800	   722.1800	 regenerative cooling, opposite flow	 
  139.0300	    27.7700	     1.7468	  4139.3710	   139.8033	  4279.1743	   698.8300	   698.8300	   680.1100	   367.8500	     3.9830	     4.4600	   724.2100	 regenerative cooling, opposite flow	 
  142.5300	    25.7500	     1.9780	  4666.5228	   135.3328	  4801.8556	   706.8800	   706.8800	   685.8700	   365.8000	     3.9840	     4.7800	   726.3500	 regenerative cooling, opposite flow	 
  146.0200	    23.9100	     2.2321	  5240.4839	   127.5602	  5368.0442	   714.5700	   714.5700	   691.0800	   363.7100	     3.9850	     5.1100	   728.5300	 regenerative cooling, opposite flow	 
  149.5200	    22.5800	     2.4485	  5722.2413	   116.5371	  5838.7784	   720.3100	   720.3100	   694.7600	   361.6300	     3.9850	     5.3800	   730.6900	 regenerative cooling, opposite flow	 
  153.0100	    21.7000	     2.6076	  6068.0250	   105.6780	  6173.7030	   723.9400	   723.9400	   696.9300	   359.5700	     3.9860	     5.5700	   732.8300	 regenerative cooling, opposite flow	 
  156.5100	    21.2200	     2.6940	  6244.8906	    95.7747	  6340.6654	   725.2700	   725.2700	   697.5300	   357.5200	     3.9870	     5.6700	   734.9700	 regenerative cooling, opposite flow	 
  159.0400	    21.1200	     2.7057	  6256.0457	    90.0756	  6346.1213	   724.7500	   724.7500	   696.9800	   356.0300	     3.9870	     5.6900	   736.4900	 regenerative cooling, opposite flow	 
  166.0300	    22.4200	     2.4133	  5543.9192	    60.4148	  5604.3341	   711.5200	   711.5200	   687.0000	   351.9900	     3.9880	     5.3600	   740.6100	 regenerative cooling, opposite flow	 
